                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.264,                0.67506,                 1.3277,                  1.309,                0.68688,                 1.3222,                0.82356,                0.71854,                0.81057,                0.41402,                 1.7058,                0.85632,                 1.5936,                 1.7292,                0.90942,                 1.5803,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.2126,                0.65066,                 1.2796,                 1.2613,                 0.6419,                 1.2816,                 0.7964,                0.73864,                0.80656,                0.38828,                 1.7225,                 0.8641,                 1.6028,                 1.7559,                0.93208,                  1.624,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.2081,                0.63796,                 1.2875,                 1.2609,                 0.6296,                 1.2806,                0.82106,                0.75909,                0.82452,                0.41082,                 1.7466,                0.85116,                  1.648,                 1.7751,                0.91805,                  1.632,               0.000467,               0.000467,               0.000467
                     37,                 1.2122,                0.62981,                 1.2908,                 1.2672,                0.60691,                 1.2896,                0.72915,                0.76919,                0.82675,                0.41056,                 1.7377,                0.82678,                 1.6425,                 1.7637,                0.88098,                 1.6359,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.2586,                 0.7978,                 1.3265,                 1.2421,                0.72844,                 1.2951,                0.79008,                0.77122,                0.82112,                0.40059,                  1.713,                 0.8279,                 1.6333,                   1.76,                 0.8841,                 1.6125,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.1784,                0.59996,                 1.2727,                 1.2404,                0.58921,                 1.2657,                0.88836,                0.69685,                0.83509,                0.43008,                 1.6759,                0.80611,                 1.5812,                 1.7158,                0.86269,                  1.587,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.1784,                0.63622,                 1.2818,                 1.2221,                0.63043,                 1.2765,                0.86557,                0.73399,                0.83806,                0.42903,                 1.6873,                 0.8182,                 1.5943,                 1.7167,                0.88691,                  1.593,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.1428,                0.58741,                 1.2398,                 1.1763,                0.56935,                 1.2261,                0.88127,                0.77953,                0.85686,                0.43514,                 1.7024,                0.78839,                 1.6307,                 1.7212,                0.85604,                 1.6022,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.1363,                0.59301,                 1.2367,                  1.189,                0.58273,                 1.2314,                 0.8446,                0.72223,                0.81946,                0.41603,                 1.7091,                0.81831,                 1.6143,                 1.7497,                0.88457,                 1.6009,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1208,                0.57904,                 1.2243,                 1.1646,                0.57008,                 1.2184,                0.86206,                0.75695,                0.84449,                 0.4277,                 1.6988,                0.79407,                 1.6279,                 1.7379,                0.85783,                 1.6177,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.0976,                0.59796,                 1.2236,                 1.1296,                0.57985,                 1.2139,                0.81542,                0.77428,                0.84393,                0.42671,                 1.7123,                0.79651,                 1.6358,                 1.7484,                0.86933,                 1.6354,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.0805,                0.59655,                 1.2288,                 1.1276,                0.58785,                 1.2188,                0.82965,                0.78759,                0.83232,                 0.4178,                 1.7259,                0.80011,                 1.6362,                  1.755,                0.87432,                 1.6246,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.0752,                0.55937,                 1.2127,                 1.1178,                0.54149,                 1.2081,                0.83599,                0.80789,                0.84236,                0.42595,                 1.6987,                 0.7772,                 1.6165,                 1.7408,                0.82609,                  1.606,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.0467,                0.54167,                 1.1921,                 1.0923,                0.53347,                  1.195,                0.88902,                0.74368,                0.85395,                0.43266,                   1.71,                0.77845,                 1.6326,                 1.7465,                0.83842,                 1.6128,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.0489,                0.54111,                 1.2086,                 1.0889,                 0.5173,                 1.2049,                 0.8307,                0.75821,                0.84709,                0.43236,                  1.702,                0.78728,                 1.6212,                 1.7409,                0.84342,                 1.6057,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.0554,                0.58581,                 1.1935,                 1.0916,                0.60066,                  1.188,                0.81099,                0.77404,                0.84372,                0.43473,                 1.6865,                0.77622,                 1.6087,                 1.7253,                0.84296,                 1.5927,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.0168,                0.53472,                 1.1822,                 1.0669,                0.50625,                 1.1763,                0.85953,                0.73826,                0.84523,                0.43517,                 1.6935,                0.77984,                 1.6221,                 1.7352,                0.84202,                 1.6065,             7.0878e-05,             7.0878e-05,             7.0878e-05
